Number of custumers = 498040
============ dt ============
1 : 627828 (2.84%)
2 : 640048 (2.89%)
3 : 679305 (3.07%)
4 : 707742 (3.2%)
5 : 749785 (3.39%)
6 : 798634 (3.61%)
7 : 805409 (3.64%)
8 : 867710 (3.92%)
9 : 904451 (4.09%)
10 : 949487 (4.29%)
11 : 991250 (4.48%)
12 : 901922 (4.08%)
13 : 914243 (4.13%)
14 : 906125 (4.09%)
15 : 1009451 (4.56%)
16 : 1037212 (4.69%)
17 : 1069010 (4.83%)
18 : 1085508 (4.91%)
19 : 1021846 (4.62%)
20 : 1071448 (4.84%)
21 : 1074318 (4.85%)
22 : 1103341 (4.99%)
23 : 1141237 (5.16%)
24 : 1073269 (4.85%)

============ shop_tag ============
15 : 2573145 (11.63%)
48 : 1806496 (8.16%)
2 : 1971956 (8.91%)
12 : 1130825 (5.11%)
10 : 2234101 (10.1%)
36 : 2550500 (11.52%)
6 : 634849 (2.87%)
37 : 4092401 (18.49%)
19 : 1022234 (4.62%)
26 : 476687 (2.15%)
21 : 503873 (2.28%)
39 : 535248 (2.42%)
13 : 625801 (2.83%)
25 : 795763 (3.6%)
18 : 629407 (2.84%)
22 : 547293 (2.47%)

============ masts ============
2 : 11723501 (52.97%)
1 : 10393812 (46.97%)
3 : 13259 (0.06%)
NULL : 7 (0.0%)

============ educd ============
2 : 3039826 (13.74%)
3 : 9604469 (43.4%)
6 : 2332862 (10.54%)
4 : 3554582 (16.06%)
5 : 3349499 (15.14%)
1 : 249326 (1.13%)
NULL : 15 (0.0%)

============ trdtp ============
15.0 : 5476564 (24.75%)
11.0 : 2946604 (13.31%)
2.0 : 2632994 (11.9%)
5.0 : 2440875 (11.03%)
17.0 : 1050748 (4.75%)
9.0 : 184351 (0.83%)
8.0 : 1167096 (5.27%)
12.0 : 2097088 (9.48%)
7.0 : 439068 (1.98%)
10.0 : 673030 (3.04%)
13.0 : 1050250 (4.75%)
4.0 : 339427 (1.53%)
20.0 : 42579 (0.19%)
6.0 : 667032 (3.01%)
14.0 : 614487 (2.78%)
3.0 : 78000 (0.35%)
16.0 : 33341 (0.15%)
1.0 : 13083 (0.06%)
18.0 : 19628 (0.09%)
19.0 : 95634 (0.43%)
21.0 : 20267 (0.09%)
27.0 : 16149 (0.07%)
24.0 : 3770 (0.02%)
22.0 : 11671 (0.05%)
26.0 : 6606 (0.03%)
25.0 : 2672 (0.01%)
23.0 : 6567 (0.03%)
NULL : 273 (0.0%)
28.0 : 600 (0.0%)
29.0 : 125 (0.0%)

============ naty ============
1 : 22080557 (99.77%)
2 : 50015 (0.23%)
NULL : 7 (0.0%)

============ poscd ============
2 : 7492429 (33.86%)
3 : 2364840 (10.69%)
99 : 7287387 (32.93%)
1 : 2200566 (9.94%)
4 : 705371 (3.19%)
5 : 518647 (2.34%)
7 : 103181 (0.47%)
6 : 674125 (3.05%)
8 : 783680 (3.54%)
10 : 345 (0.0%)
9.0 : 1 (0.0%)
NULL : 7 (0.0%)

============ cuorg ============
30 : 21496687 (97.14%)
14 : 104087 (0.47%)
18 : 52119 (0.24%)
6 : 179948 (0.81%)
32 : 32725 (0.15%)
2 : 22161 (0.1%)
7 : 6414 (0.03%)
15 : 32217 (0.15%)
4 : 59978 (0.27%)
3 : 14103 (0.06%)
12 : 11361 (0.05%)
29 : 1903 (0.01%)
21 : 10108 (0.05%)
24 : 24199 (0.11%)
11 : 2921 (0.01%)
17 : 16201 (0.07%)
31 : 2433 (0.01%)
19 : 14051 (0.06%)
13 : 13105 (0.06%)
23 : 254 (0.0%)
26 : 13790 (0.06%)
16 : 622 (0.0%)
25 : 2537 (0.01%)
8 : 11275 (0.05%)
20 : 834 (0.0%)
27 : 881 (0.0%)
28 : 275 (0.0%)
35 : 2517 (0.01%)
22 : 549 (0.0%)
9 : 32 (0.0%)
5 : 67 (0.0%)
38 : 184 (0.0%)
1 : 15 (0.0%)
40 : 19 (0.0%)
NULL : 7 (0.0%)

============ gender_code ============
1.0 : 9279766 (41.93%)
0.0 : 12588557 (56.88%)
NULL : 262256 (1.19%)

============ primary_card ============
1 : 20238029 (91.45%)
0 : 1892550 (8.55%)
